SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL,MATCHUP_TIME_SEC,MATCHUP_MIN_NUM
22025,1630217,Desmond Bane,1629638,Nickeil Alexander-Walker,4,23:51,119.1,21,101,1,3,1,8,16,0.5,3,4,0.75,0,0,0,0,2,3,1,1431.3,23.85
22025,1631109,Mark Williams,1627826,Ivica Zubac,4,22:47,119.0,24,149,4,2,0,9,15,0.6,0,0,0.0,0,0,0,0,6,7,4,1367.1,22.783333333333335
22025,1641705,Victor Wembanyama,203994,Jusuf Nurkić,3,23:14,119.0,56,152,4,3,0,20,35,0.571,6,16,0.375,0,0,0,0,10,10,6,1394.0,23.233333333333334
22025,201935,James Harden,1630230,Naji Marshall,4,22:48,118.7,26,114,12,4,0,11,16,0.688,4,6,0.667,0,0,0,0,0,0,0,1367.6,22.8
22025,203999,Nikola Jokić,203944,Julius Randle,4,22:19,117.9,43,134,16,8,0,16,24,0.667,3,3,1.0,0,0,0,0,8,8,2,1339.4,22.316666666666666
22025,1628976,Wendell Carter Jr.,1631105,Jalen Duren,4,23:10,117.9,15,123,7,4,1,6,10,0.6,3,4,0.75,0,0,0,0,0,0,0,1389.9,23.166666666666668
22025,1628976,Wendell Carter Jr.,202696,Nikola Vučević,3,22:39,117.7,19,113,1,0,1,7,14,0.5,2,4,0.5,0,0,0,0,3,6,2,1358.6,22.65
22025,203497,Rudy Gobert,203994,Jusuf Nurkić,3,22:24,117.6,15,129,2,2,0,7,7,1.0,0,0,0.0,0,0,0,0,1,2,1,1343.6,22.4
22025,1628976,Wendell Carter Jr.,1630168,Onyeka Okongwu,4,22:23,117.1,25,110,2,3,0,10,17,0.588,1,5,0.2,0,0,0,0,4,6,2,1342.9,22.383333333333333
22025,201935,James Harden,1642377,Jaylen Wells,3,24:55,116.9,21,95,10,4,0,6,16,0.375,5,11,0.455,0,0,0,0,4,5,3,1495.1,24.916666666666668
22025,203110,Draymond Green,1641705,Victor Wembanyama,4,25:38,116.4,27,113,15,7,3,9,30,0.3,4,18,0.222,0,0,0,0,5,5,2,1537.8,25.633333333333333
22025,1629130,Duncan Robinson,1630202,Payton Pritchard,4,25:47,116.0,15,118,5,0,0,5,12,0.417,5,10,0.5,0,0,0,0,0,0,0,1547.2,25.783333333333335
22025,203994,Jusuf Nurkić,203497,Rudy Gobert,3,21:07,115.9,14,100,16,5,2,6,17,0.353,1,2,0.5,0,0,0,0,1,4,2,1267.3,21.116666666666667
22025,1627742,Brandon Ingram,1628969,Mikal Bridges,5,24:23,115.7,32,99,7,5,0,13,20,0.65,2,3,0.667,0,0,0,0,4,9,5,1462.7,24.383333333333333
22025,1642276,Kel'el Ware,1626157,Karl-Anthony Towns,4,21:21,115.0,23,138,1,0,0,9,14,0.643,4,6,0.667,0,0,0,0,1,1,1,1281.1,21.35
22025,1626181,Norman Powell,1628969,Mikal Bridges,4,20:40,114.7,31,126,2,0,2,12,26,0.462,5,10,0.5,0,0,0,0,2,2,1,1240.3,20.666666666666668
22025,1630168,Onyeka Okongwu,202696,Nikola Vučević,3,21:08,114.7,21,124,6,1,1,9,19,0.474,3,6,0.5,0,0,0,0,0,2,1,1268.1,21.133333333333333
22025,1630217,Desmond Bane,1628969,Mikal Bridges,4,23:15,114.0,14,121,6,2,1,6,17,0.353,0,4,0.0,0,0,0,0,2,2,0,1395.3,23.25
22025,1630241,Sam Merrill,1629130,Duncan Robinson,4,22:27,113.1,14,105,3,2,1,5,13,0.385,4,10,0.4,0,0,0,0,0,0,0,1347.2,22.45
22025,202699,Tobias Harris,1630552,Jalen Johnson,3,21:51,113.1,27,113,3,2,0,11,27,0.407,3,7,0.429,0,0,0,0,2,2,1,1311.4,21.85
22025,1630596,Evan Mobley,1630567,Scottie Barnes,3,22:26,112.9,14,98,8,5,1,6,10,0.6,1,3,0.333,0,0,0,0,1,2,1,1345.6,22.433333333333334
22025,1631105,Jalen Duren,1628976,Wendell Carter Jr.,4,21:43,112.7,13,125,4,5,1,5,12,0.417,0,0,0.0,0,0,0,0,3,5,3,1303.1,21.716666666666665
22025,1629651,Nic Claxton,1629674,Neemias Queta,4,23:46,112.3,25,131,14,2,3,10,23,0.435,0,0,0.0,0,0,0,0,5,10,6,1425.8,23.766666666666666
22025,203994,Jusuf Nurkić,1641705,Victor Wembanyama,3,22:34,111.7,25,128,22,5,4,9,28,0.321,3,10,0.3,0,0,0,0,4,4,2,1354.2,22.566666666666666
22025,1642270,Donovan Clingan,201572,Brook Lopez,4,25:49,111.5,12,114,3,2,0,4,11,0.364,4,8,0.5,0,0,0,0,0,0,0,1548.6,25.816666666666666
22025,1629651,Nic Claxton,1630168,Onyeka Okongwu,4,21:55,111.1,29,91,7,1,1,13,23,0.565,0,2,0.0,0,0,0,0,3,3,2,1314.6,21.916666666666668
22025,1628384,OG Anunoby,1630552,Jalen Johnson,3,23:38,111.1,13,91,0,2,0,5,15,0.333,2,9,0.222,0,0,0,0,1,2,1,1418.2,23.633333333333333
22025,1630178,Tyrese Maxey,1642347,Jamal Shead,4,24:09,111.0,27,116,4,4,0,11,18,0.611,5,8,0.625,0,0,0,0,0,0,0,1449.0,24.15
22025,1630178,Tyrese Maxey,1631157,Ryan Rollins,3,24:30,110.7,23,124,8,7,1,10,20,0.5,3,10,0.3,0,0,0,0,0,0,0,1470.2,24.5
22025,201935,James Harden,1630700,Dyson Daniels,4,24:14,110.5,21,100,10,7,0,8,16,0.5,5,11,0.455,0,0,0,0,0,0,0,1453.9,24.233333333333334
22025,1627750,Jamal Murray,1630183,Jaden McDaniels,4,22:37,110.5,37,112,7,3,1,14,25,0.56,5,9,0.556,0,0,0,0,4,6,3,1357.1,22.616666666666667
22025,1630162,Anthony Edwards,1627739,Kris Dunn,4,23:56,110.2,22,93,5,6,0,7,19,0.368,2,5,0.4,0,0,0,0,6,7,3,1435.9,23.933333333333334
22025,201939,Stephen Curry,1641739,Toumani Camara,4,21:02,110.0,25,110,6,2,1,9,19,0.474,5,11,0.455,0,0,0,0,2,2,1,1261.6,21.033333333333335
22025,1628983,Shai Gilgeous-Alexander,1642264,Stephon Castle,4,21:13,109.9,24,114,12,2,0,6,19,0.316,1,5,0.2,0,0,0,0,11,13,6,1273.0,21.216666666666665
22025,1631095,Jabari Smith Jr.,1629661,Cameron Johnson,4,26:33,109.7,21,113,2,4,1,7,18,0.389,5,9,0.556,0,0,0,0,2,3,1,1593.0,26.55
22025,1641750,Ryan Kalkbrenner,202696,Nikola Vučević,4,23:04,109.2,11,127,1,1,1,4,5,0.8,0,0,0.0,0,0,0,0,3,4,2,1383.8,23.066666666666666
22025,1630567,Scottie Barnes,1628404,Josh Hart,5,22:03,109.2,35,98,6,5,0,15,31,0.484,5,12,0.417,0,0,0,0,0,0,0,1323.5,22.05
22025,1628389,Bam Adebayo,202696,Nikola Vučević,4,20:29,108.6,46,132,2,0,0,17,35,0.486,6,14,0.429,0,0,0,0,6,8,4,1228.5,20.483333333333334
22025,1629029,Luka Dončić,1627739,Kris Dunn,4,21:57,106.9,44,109,11,6,0,14,30,0.467,6,12,0.5,0,0,0,0,10,14,8,1316.8,21.95
22025,1641750,Ryan Kalkbrenner,1627751,Jakob Poeltl,3,20:46,106.9,12,100,2,1,0,4,7,0.571,0,0,0.0,0,0,0,0,4,6,3,1245.8,20.766666666666666
22025,1628973,Jalen Brunson,1642845,VJ Edgecombe,4,22:37,106.2,19,89,7,3,2,8,24,0.333,2,5,0.4,0,0,0,0,1,2,0,1356.7,22.616666666666667
22025,1629674,Neemias Queta,1631105,Jalen Duren,3,23:29,105.5,12,124,4,1,0,5,7,0.714,0,0,0.0,0,0,0,0,2,2,0,1408.8,23.483333333333334
22025,201142,Kevin Durant,1630529,Herbert Jones,3,25:02,105.4,29,105,3,4,0,12,16,0.75,1,4,0.25,0,0,0,0,4,5,1,1502.2,25.033333333333335
22025,203468,CJ McCollum,1642377,Jaylen Wells,4,21:10,105.1,18,95,4,2,0,6,13,0.462,3,9,0.333,0,0,0,0,3,3,1,1269.9,21.166666666666668
22025,1630567,Scottie Barnes,1628970,Miles Bridges,4,20:33,104.9,20,102,6,2,0,9,13,0.692,1,2,0.5,0,0,0,0,1,2,1,1233.0,20.55
22025,1642270,Donovan Clingan,203999,Nikola Jokić,4,22:37,104.8,25,107,1,1,2,10,21,0.476,5,9,0.556,0,0,0,0,0,0,0,1356.8,22.616666666666667
22025,1642852,Derik Queen,203497,Rudy Gobert,3,20:35,104.8,24,97,9,2,0,9,18,0.5,3,3,1.0,0,0,0,0,3,6,3,1234.8,20.583333333333332
22025,1630183,Jaden McDaniels,201142,Kevin Durant,3,20:48,104.6,19,109,1,2,0,8,16,0.5,1,2,0.5,0,0,0,0,2,2,1,1247.5,20.8
22025,1629638,Nickeil Alexander-Walker,1642450,Daniss Jenkins,4,21:43,104.4,12,86,4,1,0,5,15,0.333,0,7,0.0,0,0,0,0,2,2,0,1303.4,21.716666666666665
22025,1630202,Payton Pritchard,1641709,Ausar Thompson,4,24:44,104.4,15,122,2,1,1,5,14,0.357,5,12,0.417,0,0,0,0,0,0,0,1484.4,24.733333333333334
22025,201935,James Harden,1630558,Davion Mitchell,4,21:27,104.3,20,103,9,6,0,6,10,0.6,3,6,0.5,0,0,0,0,5,5,1,1287.2,21.45
22025,1630162,Anthony Edwards,1629652,Luguentz Dort,4,21:39,104.3,23,123,9,5,0,8,17,0.471,4,9,0.444,0,0,0,0,3,4,2,1298.9,21.65
22025,203501,Tim Hardaway Jr.,1628978,Donte DiVincenzo,4,21:11,103.9,22,103,1,0,0,7,9,0.778,4,6,0.667,0,0,0,0,4,4,2,1270.6,21.183333333333334
22025,1641730,Noah Clowney,1627759,Jaylen Brown,4,21:06,103.9,13,99,2,1,0,5,14,0.357,1,6,0.167,0,0,0,0,2,4,1,1266.3,21.1
22025,1629627,Zion Williamson,1628991,Jaren Jackson Jr.,4,21:25,103.8,42,111,8,6,4,16,29,0.552,0,0,0.0,0,0,0,0,10,11,5,1284.7,21.416666666666668
22025,1631094,Paolo Banchero,1630567,Scottie Barnes,3,22:05,103.8,18,109,6,4,0,6,17,0.353,0,4,0.0,0,0,0,0,6,6,4,1324.8,22.083333333333332
